keuze;aantal
Babylab;3
Bestuurssecretaris;2
Business Manager van het Descartes Centre;35
Centre for Digital Humanities;10
Communicatie & Marketing;5
Coördinatoren Bedrijfsvoering;10
Educate-it;
Ethische Toetsingscommissie;3
Examensecretariaat;3
Faculteitsdirecteur;1
Finance & control;6
Honours Trajectum Utrecht;12
Hoofd Huisvesting, Facilitaire en Secretariële ondersteuning;8
Hoofd Onderwijsondersteuning en Studentzaken (OSZ);2
HR;8
International Office - inkomende studenten;4
International Office - uitgaande studenten;2
Onderwijsbeleid;5
Onderwijscoördinator;4
Onderwijssecretariaat;4
Onderzoeksbeleid;5
Onderzoekscoördinatoren;4
Osiris key-users;
Research Support Office;10
Studieadviseurs;10
Studiepunt;3
U-Talent alfa-gamma;4
Vakspecialisten GW;30
